i,t,m,j,Expenditure
0001-001-001,2019-20,Mainland Rural,Cassava Fresh,1500
0001-001-001,2019-20,Mainland Rural,Chicken,10400
0001-001-001,2019-20,Mainland Rural,Cooking Oil,875
0001-001-001,2019-20,Mainland Rural,Leafy Greens,1757.142857
0001-001-001,2019-20,Mainland Rural,Millet & Sorghum (flour),10500
0001-001-001,2019-20,Mainland Rural,Salt,200
0001-001-001,2019-20,Mainland Rural,Sugar,700
0001-001-001,2019-20,Mainland Rural,Tea (dry),120
0001-001-001,2019-20,Mainland Rural,Vegetables (fresh),2700
0001-001-003,2019-20,Mainland Rural,Beef,3000
0001-001-003,2019-20,Mainland Rural,Cassava Fresh,1156.25
0001-001-003,2019-20,Mainland Rural,Cooking Oil,875
0001-001-003,2019-20,Mainland Rural,Dairy Products,1200
0001-001-003,2019-20,Mainland Rural,Fish (dried),2250
0001-001-003,2019-20,Mainland Rural,Leafy Greens,1415.47619
0001-001-003,2019-20,Mainland Rural,Maize (flour),1200
0001-001-003,2019-20,Mainland Rural,Millet & Sorghum (flour),6000
0001-001-003,2019-20,Mainland Rural,Pulses,1000
0001-001-003,2019-20,Mainland Rural,Salt,200
0001-001-003,2019-20,Mainland Rural,Vegetables (fresh),1882.5
0001-001-004,2019-20,Dar Es Salaam,"Buns, Cakes And Biscuits",1484
0001-001-004,2019-20,Dar Es Salaam,Cooking Oil,1800
0001-001-004,2019-20,Dar Es Salaam,Fish (fresh),5600
0001-001-004,2019-20,Dar Es Salaam,Goat Meat,7000
0001-001-004,2019-20,Dar Es Salaam,Maize (flour),4200
0001-001-004,2019-20,Dar Es Salaam,Milk (fresh),2000
0001-001-004,2019-20,Dar Es Salaam,Other Fruits,1200
0001-001-004,2019-20,Dar Es Salaam,Plantains,666.6666667
0001-001-004,2019-20,Dar Es Salaam,Pulses,1800
0001-001-004,2019-20,Dar Es Salaam,Rice (husked),1991.666667
0001-001-004,2019-20,Dar Es Salaam,Salt,200
0001-001-004,2019-20,Dar Es Salaam,Soft drinks,10000
0001-001-004,2019-20,Dar Es Salaam,Sugar,1200
0001-001-004,2019-20,Dar Es Salaam,Sweet Potatoes,530.3571429
0001-001-004,2019-20,Dar Es Salaam,Tea (dry),200
0001-001-004,2019-20,Dar Es Salaam,Vegetables (fresh),1143.676471
0001-004-001,2019-20,Mainland Rural,Cooking Oil,1050
0001-004-001,2019-20,Mainland Rural,Dairy Products,2400
0001-004-001,2019-20,Mainland Rural,Fish (dried),3250
0001-004-001,2019-20,Mainland Rural,"Honey, Syrups, etc.",1045
0001-004-001,2019-20,Mainland Rural,Leafy Greens,410
0001-004-001,2019-20,Mainland Rural,"Macaroni, Spaghetti",2900
0001-004-001,2019-20,Mainland Rural,Maize (flour),2400
0001-004-001,2019-20,Mainland Rural,Milk (fresh),4000
0001-004-001,2019-20,Mainland Rural,Millet & Sorghum (flour),7500
0001-004-001,2019-20,Mainland Rural,Rice (husked),5400
0001-004-001,2019-20,Mainland Rural,Salt,250
0001-004-001,2019-20,Mainland Rural,Sugar,700
0001-004-001,2019-20,Mainland Rural,Sweet Potatoes,1866.666667
0001-004-001,2019-20,Mainland Rural,Tea (dry),210
0001-004-001,2019-20,Mainland Rural,Vegetables (fresh),1275
0001-004-002,2019-20,Mainland Other Urban,Cooking Oil,1050
0001-004-002,2019-20,Mainland Other Urban,Fish (dried),450
0001-004-002,2019-20,Mainland Other Urban,Leafy Greens,656.25
0001-004-002,2019-20,Mainland Other Urban,Millet & Sorghum (flour),7428.571429
0001-004-002,2019-20,Mainland Other Urban,Salt,100
0001-004-002,2019-20,Mainland Other Urban,Vegetables (fresh),463.6363636
0003-001-001,2019-20,Mainland Rural,Beef,12000
0003-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",4247.165775
0003-001-001,2019-20,Mainland Rural,Cassava Fresh,1625
0003-001-001,2019-20,Mainland Rural,Chicken,8000
0003-001-001,2019-20,Mainland Rural,Coconuts,2250
0003-001-001,2019-20,Mainland Rural,Coffee & Cocoa,200.952381
0003-001-001,2019-20,Mainland Rural,Cooking Oil,2625
0003-001-001,2019-20,Mainland Rural,Goat Meat,5000
0003-001-001,2019-20,Mainland Rural,Groundnuts,1000
0003-001-001,2019-20,Mainland Rural,"Honey, Syrups, etc.",2090
0003-001-001,2019-20,Mainland Rural,Irish Potatoes,2000
0003-001-001,2019-20,Mainland Rural,Leafy Greens,4685.714286
0003-001-001,2019-20,Mainland Rural,"Macaroni, Spaghetti",4350
0003-001-001,2019-20,Mainland Rural,Maize (flour),4200
0003-001-001,2019-20,Mainland Rural,Milk (fresh),7000
0003-001-001,2019-20,Mainland Rural,Pulses,6000
0003-001-001,2019-20,Mainland Rural,Rice (husked),12600
0003-001-001,2019-20,Mainland Rural,Salt,500
0003-001-001,2019-20,Mainland Rural,Sugar,2800
0003-001-001,2019-20,Mainland Rural,Sweet Potatoes,2333.333333
0003-001-001,2019-20,Mainland Rural,Tea (dry),500
0003-001-001,2019-20,Mainland Rural,Vegetables (fresh),6900
0003-001-001,2019-20,Mainland Rural,Wheat Flour,1750
0004-001-001,2019-20,Mainland Rural,Beef,6000
0004-001-001,2019-20,Mainland Rural,Bread,1800
0004-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",4795.187166
0004-001-001,2019-20,Mainland Rural,Cassava Fresh,1625
0004-001-001,2019-20,Mainland Rural,Chicken,10400
0004-001-001,2019-20,Mainland Rural,Citrus Fruits,77.5
0004-001-001,2019-20,Mainland Rural,Coconuts,3125
0004-001-001,2019-20,Mainland Rural,Cooking Oil,3500
0004-001-001,2019-20,Mainland Rural,Dairy Products,1200
0004-001-001,2019-20,Mainland Rural,Eggs,2100
0004-001-001,2019-20,Mainland Rural,Fish (fresh),2857.142857
0004-001-001,2019-20,Mainland Rural,Goat Meat,2500
0004-001-001,2019-20,Mainland Rural,"Honey, Syrups, etc.",2090
0004-001-001,2019-20,Mainland Rural,Irish Potatoes,3000
0004-001-001,2019-20,Mainland Rural,Leafy Greens,1561.904762
0004-001-001,2019-20,Mainland Rural,"Macaroni, Spaghetti",13050
0004-001-001,2019-20,Mainland Rural,Maize (flour),4200
0004-001-001,2019-20,Mainland Rural,Maize (grain),1300
0004-001-001,2019-20,Mainland Rural,Pulses,2000
0004-001-001,2019-20,Mainland Rural,Rice (husked),15750
0004-001-001,2019-20,Mainland Rural,Salt,250
0004-001-001,2019-20,Mainland Rural,Soft drinks,3000
0004-001-001,2019-20,Mainland Rural,Sugar,2800
0004-001-001,2019-20,Mainland Rural,Sugarcane,766.6666667
0004-001-001,2019-20,Mainland Rural,Sweet Potatoes,1000
0004-001-001,2019-20,Mainland Rural,Sweets,250
0004-001-001,2019-20,Mainland Rural,Tea (dry),400
0004-001-001,2019-20,Mainland Rural,Vegetables (fresh),6750
0005-001-001,2019-20,Mainland Rural,Beef,3000
0005-001-001,2019-20,Mainland Rural,"Buns, Cakes And Biscuits",1096.042781
0005-001-001,2019-20,Mainland Rural,Cassava Fresh,1750
0005-001-001,2019-20,Mainland Rural,Cooking Oil,1750
0005-001-001,2019-20,Mainland Rural,Fish (dried),1250
0005-001-001,2019-20,Mainland Rural,Goat Meat,5000
0005-001-001,2019-20,Mainland Rural,Irish Potatoes,1800
0005-001-001,2019-20,Mainland Rural,Leafy Greens,1327.619048
0005-001-001,2019-20,Mainland Rural,Maize (flour),8400
0005-001-001,2019-20,Mainland Rural,Pulses,7000
0005-001-001,2019-20,Mainland Rural,Rice (husked),8100
0005-001-001,2019-20,Mainland Rural,Salt,200
0005-001-001,2019-20,Mainland Rural,Sugar,2800
0005-001-001,2019-20,Mainland Rural,Sugarcane,616.6666667
0005-001-001,2019-20,Mainland Rural,Sweet Potatoes,1066.666667
0005-001-001,2019-20,Mainland Rural,Tea (dry),500
0005-001-001,2019-20,Mainland Rural,Vegetables (fresh),2025
0007-001-001,2019-20,Mainland Rural,Beef,3000
0007-001-001,2019-20,Mainland Rural,Cooking Oil,2100
0007-001-001,2019-20,Mainland Rural,Dairy Products,1200
0007-001-001,2019-20,Mainland Rural,Leafy Greens,2245.238095
0007-001-001,2019-20,Mainland Rural,Maize (flour),13200
0007-001-001,2019-20,Mainland Rural,Milk (fresh),1000
0007-001-001,2019-20,Mainland Rural,Pulses,8000
0007-001-001,2019-20,Mainland Rural,Salt,200
0007-001-001,2019-20,Mainland Rural,Sugar,2800
0007-001-001,2019-20,Mainland Rural,Sugarcane,2266.666667
0007-001-001,2019-20,Mainland Rural,Tea (dry),120
0007-001-001,2019-20,Mainland Rural,Vegetables (fresh),3600
0009-001-001,2019-20,Mainland Rural,Cooking Oil,612.5
0009-001-001,2019-20,Mainland Rural,Fish (fresh),571.4285714
0009-001-001,2019-20,Mainland Rural,Leafy Greens,6052.380952
