t,m,j,u,Price
2019-20,Dar Es Salaam,Beef,kg,6532.211538
2019-20,Dar Es Salaam,Bottled Beer,kg,4538.028312
2019-20,Dar Es Salaam,Bread,kg,2422.510735
2019-20,Dar Es Salaam,"Buns, Cakes And Biscuits",kg,2538.132713
2019-20,Dar Es Salaam,"Butter, Etc.",kg,8133.333333
2019-20,Dar Es Salaam,Cassava Dry/Flour,kg,1370
2019-20,Dar Es Salaam,Cassava Fresh,kg,952.2405209
2019-20,Dar Es Salaam,Chicken,kg,11196.8254
2019-20,Dar Es Salaam,Chicken,piece,12375
2019-20,Dar Es Salaam,Citrus Fruits,kg,2480.320538
2019-20,Dar Es Salaam,Citrus Fruits,piece,200
2019-20,Dar Es Salaam,Coconuts,kg,1764.23998
2019-20,Dar Es Salaam,Coconuts,piece,696.0416667
2019-20,Dar Es Salaam,Coffee & Cocoa,kg,20000
2019-20,Dar Es Salaam,Cooking Oil,kg,3583.618667
2019-20,Dar Es Salaam,Dairy Products,kg,2506.666667
2019-20,Dar Es Salaam,Eggs,kg,
2019-20,Dar Es Salaam,Eggs,piece,323.6111111
2019-20,Dar Es Salaam,Fish (dried),kg,6369.393206
2019-20,Dar Es Salaam,Fish (fresh),kg,6655.112782
2019-20,Dar Es Salaam,Goat Meat,kg,7000
2019-20,Dar Es Salaam,Groundnuts,kg,2545.454545
2019-20,Dar Es Salaam,"Honey, Syrups, etc.",kg,7898.717949
2019-20,Dar Es Salaam,Irish Potatoes,kg,1331.089802
2019-20,Dar Es Salaam,Leafy Greens,kg,1382.634244
2019-20,Dar Es Salaam,Local Brews,kg,500
2019-20,Dar Es Salaam,"Macaroni, Spaghetti",kg,2575.768849
2019-20,Dar Es Salaam,Maize (flour),kg,1397.672106
2019-20,Dar Es Salaam,Maize (grain),kg,1288.888889
2019-20,Dar Es Salaam,"Maize (green, cob)",kg,4009.52381
2019-20,Dar Es Salaam,Materials For Drinks,kg,13571.42857
2019-20,Dar Es Salaam,Milk (dry or canned),kg,21769.27438
2019-20,Dar Es Salaam,Milk (fresh),kg,2093.263647
2019-20,Dar Es Salaam,Millet & Sorghum (flour),kg,2223.529412
2019-20,Dar Es Salaam,Millet & Sorghum (grain),kg,
2019-20,Dar Es Salaam,Nuts,kg,9000
2019-20,Dar Es Salaam,Other Cereal Products,kg,2033.333333
2019-20,Dar Es Salaam,Other Cereals,kg,1850
2019-20,Dar Es Salaam,Other Fruits,kg,2091.632794
2019-20,Dar Es Salaam,Other Spices,kg,3363.617949
2019-20,Dar Es Salaam,Plantains,kg,1470.24573
2019-20,Dar Es Salaam,Pork,kg,11500
2019-20,Dar Es Salaam,Pulses,kg,2288.121048
2019-20,Dar Es Salaam,Rice (husked),kg,1908.769367
2019-20,Dar Es Salaam,Ripe Bananas,kg,2350.257428
2019-20,Dar Es Salaam,Salt,kg,1047.704848
2019-20,Dar Es Salaam,Soft drinks,kg,1419.178082
2019-20,Dar Es Salaam,Sugar,kg,2503.058742
2019-20,Dar Es Salaam,Sugarcane,kg,1190.47619
2019-20,Dar Es Salaam,Sweet Potatoes,kg,1057.793688
2019-20,Dar Es Salaam,Sweets,kg,9257.936508
2019-20,Dar Es Salaam,Sweets,piece,50
2019-20,Dar Es Salaam,Tea (dry),kg,12602.21697
2019-20,Dar Es Salaam,Vegetables (fresh),kg,1784.567071
2019-20,Dar Es Salaam,Vegetables (preserved),kg,
2019-20,Dar Es Salaam,Wheat Flour,kg,1359.52381
2019-20,Dar Es Salaam,Wine & Spirits,kg,6666.666667
2019-20,Dar Es Salaam,Yams/Cocoyams,kg,1384.349625
2019-20,Mainland Other Urban,Beef,kg,5666.949153
2019-20,Mainland Other Urban,Bottled Beer,kg,3753.968254
2019-20,Mainland Other Urban,Bread,kg,2243.097163
2019-20,Mainland Other Urban,"Buns, Cakes And Biscuits",kg,2585.787017
2019-20,Mainland Other Urban,"Butter, Etc.",kg,8250
2019-20,Mainland Other Urban,Cassava Dry/Flour,kg,1095.726496
2019-20,Mainland Other Urban,Cassava Fresh,kg,925.6103185
2019-20,Mainland Other Urban,Chicken,kg,8615.935263
2019-20,Mainland Other Urban,Chicken,piece,8000
2019-20,Mainland Other Urban,Citrus Fruits,kg,2113.435588
2019-20,Mainland Other Urban,Coconuts,kg,1616.568308
2019-20,Mainland Other Urban,Coconuts,piece,500
2019-20,Mainland Other Urban,Cooking Oil,kg,3682.611195
2019-20,Mainland Other Urban,Dairy Products,kg,1397.015152
2019-20,Mainland Other Urban,Eggs,kg,
2019-20,Mainland Other Urban,Eggs,piece,353.9473684
2019-20,Mainland Other Urban,Fish (dried),kg,5416.530066
2019-20,Mainland Other Urban,Fish (fresh),kg,4541.908494
2019-20,Mainland Other Urban,Goat Meat,kg,6433.333333
2019-20,Mainland Other Urban,Groundnuts,kg,2680.318987
2019-20,Mainland Other Urban,"Honey, Syrups, etc.",kg,7043.383838
2019-20,Mainland Other Urban,Irish Potatoes,kg,1087.519473
2019-20,Mainland Other Urban,Leafy Greens,kg,1498.853934
2019-20,Mainland Other Urban,Local Brews,kg,736.1111111
2019-20,Mainland Other Urban,"Macaroni, Spaghetti",kg,2772.222222
2019-20,Mainland Other Urban,Maize (flour),kg,1126.491439
2019-20,Mainland Other Urban,Maize (grain),kg,1153.508772
2019-20,Mainland Other Urban,"Maize (green, cob)",kg,878.6706349
2019-20,Mainland Other Urban,Materials For Drinks,kg,1441.964286
2019-20,Mainland Other Urban,Milk (fresh),kg,1339.705882
2019-20,Mainland Other Urban,Millet & Sorghum (flour),kg,1935.238095
2019-20,Mainland Other Urban,Nuts,kg,
2019-20,Mainland Other Urban,Other Cereal Products,kg,2745.418167
2019-20,Mainland Other Urban,Other Fruits,kg,1718.924727
2019-20,Mainland Other Urban,Other Fruits,piece,300
2019-20,Mainland Other Urban,Other Spices,kg,4161.208073
2019-20,Mainland Other Urban,Plantains,kg,1065.174665
2019-20,Mainland Other Urban,Pork,kg,6820.512821
2019-20,Mainland Other Urban,Pulses,kg,1946.756854
2019-20,Mainland Other Urban,Rice (husked),kg,1787.128427
