j,Energy,Protein,Vitamin A,Vitamin D,Vitamin E,Vitamin C,Vitamin B-6,Vitamin B-12,Calcium,Magnesium,Iron,Zinc,Fiber
Beef,3230,249,0,0,0,0,3,19,40,230,17,41,0
Bottled Beer,410,3,0,0,0,0,1,0,50,60,0,0,0
Bread,2740,80,0,0,0,0,0,0,100,270,5,9,28
"Butter, Etc.",8760,3,9250,20,30,0,0,0,80,10,1,0,0
Milk (dry or canned),4960,263,4070,0,10,70,4,30,8510,810,7,30,0
Vegetables (preserved),230,85,1460,0,0,445,2,0,969,550,23,6,35
Cassava Dry/Flour,3140,26,140,0,0,720,7,0,460,240,19,7,36
Cassava Fresh,1600,14,10,0,2,206,1,0,160,210,3,3,18
Chicken,1670,245,270,0,0,0,2,2,90,140,10,13,0
Citrus Fruits,470,9,80,0,0,530,1,0,400,100,1,1,28
Coconuts,700,5,0,0,0,10,0,0,1260,30,4,1,90
Coffee & Cocoa,2000,100,0,0,0,0,0,0,3000,4000,100,0,0
Cooking Oil,8620,0,0,0,10,0,0,0,0,0,0,0,0
Cricket,75,96,10,10,0,20,3,16,900,620,25,84,130
Dairy Products,3490,76,3660,0,3,0,0,4,800,60,12,5,0
Dried/salted/canned fish,3090,664,0,0,40,0,73,350,410,1220,14,17,0
Eggs (kg),2780,192,8100,80,20,0,4,81,960,260,59,21,0
Fish (dried),980,181,0,40,0,170,5,0,70,210,3,3,0
Fish (fresh),1120,214,430,120,10,0,3,11,480,860,9,4,0
Milk (fresh),600,32,280,0,1,0,0,4,1150,120,0,0,0
Goat Meat,2690,249,0,0,0,0,3,19,40,230,17,41,0
Groundnuts,5670,258,0,0,90,0,3,0,920,1680,46,33,42
"Honey, Syrups, etc.",3040,3,0,0,0,10,0,0,60,20,4,2,20
Irish Potatoes,930,20,0,0,67,186,7,0,50,250,4,3,25
Local Brews,410,3,0,0,0,0,1,0,50,60,0,0,0
Maize (flour),3620,81,0,0,10,0,3,0,60,1270,35,18,73
Maize (grain),3620,81,0,0,10,0,3,0,60,1270,35,18,73
"Maize (green, cob)",590,18,70,0,0,30,0,0,10,180,3,3,60
Mangoes,650,5,380,0,11,277,1,0,100,90,1,0,15
Millet & Sorghum (flour),3280,66,50,0,0,0,2,0,2750,270,27,12,134
Millet and sorghum (grain),3280,66,50,0,0,0,2,0,2750,270,27,12,134
Nuts,5890,200,0,0,240,10,1,0,2660,2960,37,29,118
"Onions, tomatoes, carrots, green pepper, other viungo",400,13,0,0,0,74,1,0,230,100,2,2,30
Other Cereal Products,0,0,0,0,0,0,0,0,0,0,0,0,0
Materials For Drinks,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Spices,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Starches,3810,3,0,0,0,0,0,0,20,30,5,1,80
"Macaroni, Spaghetti",3710,105,0,0,0,0,0,0,150,220,12,1,28
Pastries,3200,47,340,0,10,0,0,2,380,90,4,4,6
"Peas, beans, lentils and other pulses",1160,90,30,0,0,50,5,0,510,960,88,35,80
Plantains,1162,7.7922,449.99955,0,0,0,0,0,20.12985,0,0,1.2987,23
Pork,5370,196,10,10,0,0,3,6,180,170,8,21,0
"Prepared tea, coffee",2000,100,0,0,0,0,0,0,3000,4000,100,0,0
Rice (husked),3580,65,0,0,0,0,1,0,80,360,6,11,8
Rice (paddy),3580,65,0,0,0,0,1,0,80,360,6,11,13
Ripe Bananas,890,11,30,0,1,87,4,0,50,270,3,2,26
Salt,0,0,0,0,0,0,0,0,450,20,1,0,0
Seeds,5880,264,70,0,20,0,2,0,1310,3470,78,103,120
Soft drinks,540,2,1680,0,0,150,1,0,40,40,0,0,0
Leafy Greens,230,30,8190,0,10,100,2,0,1360,870,36,8,30
Sugar,3870,0,0,0,0,0,0,0,10,0,1,0,0
Sugarcane,260,0,0,0,0,0,0,0,60,20,1,0,100
Sweet Potatoes,740,12,10560,0,40,180,2,0,200,140,4,2,11
Sweets,4790,42,0,0,3,0,0,0,320,1150,31,16,10
Tea (dry),10,0,0,0,0,0,0,0,20,20,0,0,0
Wheat Flour,3990,137,0,0,0,0,3,0,150,220,12,7,84
Other Cereals,3490,123,0,0,10,0,2,0,260,920,28,20,122
"Wheat, barley, other grains",3490,123,0,0,10,0,2,0,260,920,28,20,122
Wild birds and insects,0,0,0,0,0,0,0,0,0,0,0,0,50
Wine & Spirits,190,0,0,0,0,5,0,0,80,100,4,1,0
Yams/Cocoyams,970,21,0,0,50,120,2,0,80,260,8,5,18
Vegetables (fresh),230,30,8190,0,10,100,2,0,1360,870,36,8,30
Other Fruits,650,5,380,0,11,277,1,0,100,90,1,0,15
Pulses,1160,90,30,0,0,50,5,0,510,960,88,35,80
"Buns, Cakes And Biscuits",2740,80,0,0,0,0,0,0,100,270,5,9,28
Other Meat,3230,249,0,0,0,0,3,19,40,230,17,41,0
Eggs,139,9.6,405,4,1,0,0.2,4.05,48,13,2.95,1.05,0
