i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
0001-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,4,0,0,0,2,2,2.079441542
0001-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361
0001-004,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0002-001,2012-13,Mainland Rural,0,2,0,2,0,0,0,0,0,2,2,0,0,0,2.079441542
0002-001,2014-15,Mainland Rural,2,0,0,4,0,0,0,0,0,2,2,0,0,0,2.302585093
0003-001,2012-13,Mainland Rural,0,0,1,1,2,1,1,0,0,0,0,1,1,0,2.079441542
0003-001,2014-15,Mainland Rural,0,0,1,0,1,2,2,0,0,0,0,1,1,0,2.079441542
0003-010,2012-13,Dar Es Salaam,2,0,0,0,0,0,0,0,2,4,0,0,0,0,2.079441542
0004-001,2014-15,Mainland Rural,0,2,2,0,0,0,0,0,0,4,2,0,0,0,2.302585093
0005-001,2012-13,Mainland Rural,2,0,2,0,2,0,0,0,0,2,2,0,0,0,2.302585093
0005-001,2014-15,Mainland Rural,3,0,6,0,3,0,0,3,0,3,3,0,0,0,3.044522438
0006-001,2012-13,Mainland Rural,0,2,0,2,0,2,0,0,0,0,0,2,0,2,2.302585093
0007-001,2012-13,Mainland Rural,0,2,0,4,0,0,0,0,0,2,2,0,0,0,2.302585093
0007-001,2014-15,Mainland Rural,2,0,0,4,0,2,0,0,0,2,2,0,0,0,2.48490665
0008-001,2012-13,Mainland Rural,0,0,2,2,0,2,2,4,0,0,0,0,2,2,2.772588722
0008-001,2014-15,Mainland Rural,2,0,2,0,0,2,0,4,2,2,0,0,2,2,2.890371758
0009-001,2012-13,Mainland Rural,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1.609437912
0009-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1.609437912
0010-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
0010-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
0011-001,2012-13,Mainland Rural,3,0,3,0,0,6,6,0,6,0,3,3,0,0,3.401197382
0011-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0011-004,2012-13,Mainland Rural,0,3,0,0,0,0,0,0,3,3,0,0,0,0,2.197224577
0012-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0012-001,2014-15,Mainland Rural,0,2,4,0,0,4,4,0,2,2,0,2,2,0,3.091042453
0012-003,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
